id,date,amount,sector,IBAN,pod_sector
38,2/1/2024,"€667,93",Health and Wellness,FR73 4381 8449 650T FW2R UCRW K62,Dentist
39,4/14/2024,"€80,98",Groceries,LB76 2791 FILP LZZL G2VZ IAKA IL7X,Snacks
40,1/3/2024,"€887,78",Insurance,FR54 7630 5465 342V GLBD Z6TP K28,Business Insurance
41,5/1/2024,"€991,50",Shopping,HU09 3983 2182 9215 8148 1413 4959,Cosmetics
42,1/23/2024,"€627,24",Travel,BR54 8572 3398 4456 9238 4330 913F T,Travel Insurance
43,7/21/2024,"€445,13",Insurance,LT84 3576 2226 2702 1994,Auto Insurance
44,5/4/2024,"€88,73",Shopping,FR03 2616 9660 11UV 8R8N X49U M88,Appliances
45,3/19/2024,"€755,71",Health and Wellness,DK81 8125 3435 1141 49,Dentist
46,5/14/2024,"€59,81",Transportation,ME31 0521 7592 5366 2883 29,Car Loan
47,5/28/2024,"€266,57",Travel,DE30 3055 1567 1807 7865 08,Hotels
48,9/26/2024,"€463,05",Travel,HR03 9007 6310 5603 1774 7,Excursions
49,7/14/2024,"€483,38",Groceries,RO97 BTYK PNKJ NJXU MD95 G89F,Beverages
50,4/15/2024,"€34,74",Insurance,FR77 6203 5155 54ZP OLLK DPZY 581,Umbrella Policy
51,1/28/2024,"€551,37",Groceries,MU96 LWEU 4162 0738 8209 2595 850X ZP,Cleaning Supplies
52,10/14/2024,"€311,74",Groceries,FR68 9310 1383 69IC 4APE LY4P Y44,Canned Goods
53,9/27/2024,"€98,73",Travel,TR78 8338 3IIZ VBTQ JR8W RIAB H3,Travel Gear
54,11/20/2023,"€145,80",Family,KZ19 8820 E9UN PX4G MJ89,Childcare
55,8/12/2024,"€38,88",Dining and Restaurants,GE55 RC21 2437 1330 3092 63,Cafes
56,4/27/2024,"€923,97",Transportation,RS45 4737 7171 7525 4874 10,Vehicle Maintenance
57,11/23/2023,"€901,65",Entertainment,RO38 UNDF TNGA L2Z2 0OEA 3EFI,Amusement Parks
58,10/1/2024,"€166,13",Transportation,HR39 4591 6173 6793 7042 8,Car Rental
59,7/4/2024,"€614,73",Insurance,FR02 0376 3726 68IJ AMSW PRDQ N00,Mortgage Insurance
60,5/11/2024,"€947,75",Groceries,KZ98 177F XQXX PSS0 6UJC,Beverages
61,5/31/2024,"€769,33",Health and Wellness,CH13 4290 6K1T X8X7 PMKW D,Therapy
62,1/6/2024,"€765,40",Travel,FO38 0088 8459 3488 80,Souvenirs
63,8/14/2024,"€164,78",Groceries,FO33 0928 6325 6049 21,Dairy
64,10/26/2024,"€924,94",Shopping,BR91 0978 5437 7795 9910 2144 744B D,Shoes
65,5/3/2024,"€989,11",Family,PL52 6729 9393 6361 3436 3508 2390,Books
66,10/22/2024,"€625,63",Shopping,HU69 2234 4560 3144 9218 8441 5440,Gifts
67,12/21/2023,"€339,78",Insurance,FR07 4269 9239 79VD ZPAN DJJW Y24,Health Insurance
68,4/12/2024,"€986,84",Groceries,FR55 9339 8030 90WH IS19 V9KW C19,Cleaning Supplies
69,2/1/2024,"€100,52",Dining and Restaurants,ES41 1327 4989 4049 9781 7579,Food Trucks
70,10/17/2024,"€2,87",Travel,MD74 V4HV RS1Z KEYW WMF5 DC1A,Cruises
71,5/2/2024,"€332,39",Groceries,KW32 JGDK UX8I CQQQ IQSB SKDY HLUF VZ,Condiments
72,5/7/2024,"€51,10",Housing and Rent,MU80 MUNA 4029 1740 9046 3334 486Q CC,Gas
73,9/26/2024,"€539,94",Transportation,KZ93 931U JJMC FHDR FUVQ,Roadside Assistance
74,4/14/2024,"€1,67",Entertainment,FR10 1757 8303 90YE O4IR SS6X L70,Movies
75,5/25/2024,"€515,50",Shopping,SI67 7894 7743 1273 938,Outdoor Gear
76,1/2/2024,"€882,88",Family,BE40 9133 2908 4681,Health Insurance
77,7/29/2024,"€252,74",Insurance,EE03 3852 3817 6819 4637,Umbrella Policy
78,10/18/2024,"€10,01",Groceries,CH41 6935 3Q9O OKQR G80Q I,Snacks
79,3/17/2024,"€913,43",Entertainment,PK61 DWMI 4VCX VH4Z JNX7 EHIT,Movies
80,1/1/2024,"€890,65",Family,VG21 YMGT 1662 2878 3179 6512,Extra-Curricular Activities
81,10/22/2024,"€520,47",Dining and Restaurants,RS91 6006 2002 9709 3600 80,Delivery Services
82,11/20/2023,"€754,78",Health and Wellness,FR43 4755 3573 65IQ 2VRS B1VV I86,Nutrition
83,8/22/2024,"€774,57",Shopping,BA89 9681 5105 8633 0348,Toys
84,7/5/2024,"€972,53",Housing and Rent,BG41 GEVC 0255 00NT QGHT SF,Maintenance
85,11/8/2023,"€841,25",Travel,FO23 4584 9028 8784 25,Travel Gear
86,7/10/2024,"€61,06",Transportation,IL17 3357 8650 2049 9108 361,Rideshare
87,3/13/2024,"€261,81",Transportation,MK94 320R SMM9 PMND J46,Vehicle Maintenance
88,7/1/2024,"€847,77",Dining and Restaurants,IS44 5170 1969 2589 1010 6317 55,Bars
89,4/2/2024,"€338,76",Groceries,IL32 3039 6108 8992 4268 439,Meat
90,2/29/2024,"€724,10",Shopping,HU08 4692 6535 5174 0590 3307 6691,Accessories
91,5/3/2024,"€870,71",Travel,DE77 1995 0644 0708 9061 69,Vacation Packages
92,10/11/2024,"€826,48",Groceries,IL83 8938 9832 7081 6196 334,Beverages
93,11/13/2023,"€168,62",Family,VG13 RNGV 0442 1799 9006 4620,Extra-Curricular Activities
94,8/9/2024,"€14,79",Shopping,IL51 8708 6986 5834 3873 899,Jewelry
95,3/16/2024,"€982,43",Health and Wellness,DO27 GCPV 5874 5306 0281 0000 2010,Health Insurance
96,3/21/2024,"€307,88",Transportation,BH62 KNWS NWFA MDHD TDME IU,Parking
97,11/21/2023,"€115,57",Transportation,FR12 8561 6407 83LI KNTB 4HIX W56,Gasoline
98,5/19/2024,"€499,94",Shopping,CZ95 8529 9225 7048 5507 7270,Gifts
99,12/8/2023,"€228,92",Travel,LB21 1827 VU5U NCSM JLOZ 2HEU L4MY,Excursions
100,5/13/2024,"€41,97",Health and Wellness,PT27 2659 6622 0510 7780 3737 1,Optometrist
101,9/9/2024,"€158,86",Entertainment,BE91 3580 7090 2601,Amusement Parks
102,3/26/2024,"€415,52",Travel,DK08 0221 7379 0785 96,Public Transport
103,4/11/2024,"€578,55",Groceries,FR63 7648 4660 94KJ GCI0 WKF5 S77,Beverages
104,3/23/2024,"€827,03",Groceries,IL03 3201 2751 6293 1964 975,Vegetables
105,6/23/2024,"€664,89",Entertainment,MU90 ORKN 6447 8547 2679 2673 801B KX,Museums
106,6/14/2024,"€71,96",Family,MK30 8626 JYET XRNW D25,Child Entertainment
107,9/28/2024,"€654,76",Insurance,PS29 YPOU CPCV OTFJ A0SZ WDMS ZN4F H,Life Insurance
108,3/1/2024,"€284,08",Health and Wellness,AE24 3029 0370 6430 1532 990,Massage
109,9/30/2024,"€835,23",Shopping,PK63 AIJP GG3K 38EK 3UJN IAMC,Electronics
110,10/29/2024,"€315,50",Transportation,MC25 5610 3873 889A Q5FT 4JYG 326,Car Rental
111,7/2/2024,"€605,92",Family,LV50 PEOH BDQH EHZH 6V2Y A,Childcare
112,11/14/2023,"€595,08",Insurance,EE16 6934 4905 6775 8854,Pet Insurance
113,11/8/2023,"€73,78",Shopping,MD90 SWB9 KE1X UOEI 05CT XYGB,Stationery
114,12/3/2023,"€726,87",Groceries,FR73 5021 8219 34K6 WIEG IKNC Q55,Bakery
115,2/5/2024,"€129,55",Housing and Rent,FR38 4887 0030 57MR 2LIO QAYX Y60,Property Tax
116,4/22/2024,"€596,58",Travel,LV19 JFKA SGNF 7HHI V2CW L,Travel Insurance
117,3/10/2024,"€506,06",Shopping,AL92 0630 0635 RYIM 8ZWA 1HBL YCOE,Stationery
118,2/7/2024,"€848,86",Shopping,IS93 2808 8092 0160 1792 1481 03,Shoes
119,4/14/2024,"€346,74",Housing and Rent,AZ40 QRUM FUCN 9HER S7BQ MMMG RUOE,Maintenance
120,1/12/2024,"€393,67",Insurance,GL20 1808 5384 1946 89,Renters Insurance
121,7/24/2024,"€902,27",Transportation,FR95 9822 6283 11SM L5AM 8O2Y C52,Car Rental
122,6/12/2024,"€744,56",Shopping,BR83 5660 5009 5164 1452 1454 310Z U,Stationery
123,9/27/2024,"€919,53",Groceries,MK60 492P MK7Y MPHU A05,Frozen Foods
124,10/31/2024,"€511,30",Groceries,MT03 SBSY 7837 2EDU ND8E 3BTL PXID QDI,Condiments
125,6/12/2024,"€301,75",Entertainment,DE71 4788 0335 3117 6943 78,Music Lessons
126,7/6/2024,"€99,93",Groceries,ES92 6903 7508 2214 7784 2016,Pet Supplies
127,12/28/2023,"€250,33",Insurance,EE68 7717 0457 3154 8274,Disability Insurance
128,6/16/2024,"€387,99",Housing and Rent,FR76 4361 6596 678M 55TY T6KL C02,Home Security
129,7/2/2024,"€620,56",Housing and Rent,FR23 8019 5384 20HV JMVW VXXH B77,Water
130,7/10/2024,"€459,66",Transportation,PS74 DSSU MOXW K7RV TXGV J7WR RI0F U,Flight
131,8/18/2024,"€333,66",Housing and Rent,HU67 7448 9933 4867 5291 4195 6236,Internet
132,9/11/2024,"€634,26",Entertainment,NO57 2608 4868 765,Streaming Services
133,4/21/2024,"€987,13",Family,BR10 2441 2805 4710 0775 5462 104P 5,Health Insurance
134,8/13/2024,"€824,24",Housing and Rent,FR20 1327 8524 09PE GYII SZHJ C67,Electricity
135,2/1/2024,"€819,22",Travel,KW23 XIPI 1LY5 VSIL G4RL AXXJ 76XP DU,Travel Gear
136,6/4/2024,"€216,90",Health and Wellness,BA19 0992 7522 2337 8564,Chiropractor
137,1/2/2024,"€325,93",Groceries,SE89 0228 5193 2994 7003 6176,Meat
138,12/16/2023,"€957,33",Housing and Rent,MD84 BQFB EMCM OIKI FUTA 50M0,Furniture
139,2/22/2024,"€687,54",Entertainment,ME60 4049 3983 6891 8676 68,Museums
140,7/24/2024,"€975,47",Health and Wellness,BG48 UOXP 1245 47VE JUGN U9,Chiropractor
141,7/23/2024,"€539,87",Transportation,FR78 9832 7002 11IN 90PW OW3H M57,Electric Vehicle Charging
142,2/21/2024,"€445,82",Shopping,FI18 8476 6842 0888 14,Jewelry
143,4/24/2024,"€967,01",Groceries,FR37 2086 6333 55X1 GI7Z 6CFB M95,Pet Supplies
144,1/13/2024,"€441,69",Insurance,MC20 9443 9185 36K7 OD62 YPH1 Z91,Travel Insurance
145,3/9/2024,"€273,43",Transportation,IS50 9956 0902 3846 9184 3314 81,Bike Rental
146,12/23/2023,"€952,15",Entertainment,RO88 SIPZ QOUT 2PEN HHL1 YPUU,Video Games
147,1/25/2024,"€653,38",Insurance,AZ98 GEYE 3KPG LJ6D F3VI TOBC UMSA,Life Insurance
148,8/27/2024,"€333,20",Groceries,FR28 6593 3478 16JE TBUB RUQL 289,Snacks
149,3/18/2024,"€840,94",Family,AT16 8759 8745 3455 5561,Child Entertainment
150,6/20/2024,"€57,96",Dining and Restaurants,LT03 5975 7954 5039 3102,Coffee Shops
151,6/22/2024,"€155,25",Housing and Rent,FR96 6569 6494 51TS ABG3 BSEQ I36,Home Security
152,11/4/2024,"€940,03",Dining and Restaurants,DE07 7375 1488 3968 1530 25,Fast Food
153,3/22/2024,"€679,46",Insurance,LV21 LFUD 3E5Y ZFXF VG0P S,Business Insurance
154,4/2/2024,"€222,82",Family,GT56 1OPB OR6R OEYV HYY5 6BAP QERE,School Fees
155,5/22/2024,"€329,00",Transportation,FR85 4196 8954 88OB F3UL KWUK C89,Train
156,3/31/2024,"€534,05",Housing and Rent,FR12 4052 1090 25KQ 3OZH WZGA L06,Insurance
157,11/14/2023,"€994,04",Travel,LI91 9738 39HN QNF5 KG2G H,Hotels
158,4/10/2024,"€653,88",Travel,PT04 8748 5674 0856 4535 2311 5,Cruises
159,10/30/2024,"€934,11",Transportation,LB92 7128 IFOJ 3UZP BJLZ QPOR ROW5,Rideshare
160,5/30/2024,"€960,78",Dining and Restaurants,IT46 O821 6413 139H HVL0 JP4S WBG,Bakeries
161,7/9/2024,"€489,51",Groceries,MU08 STZR 9486 6746 7852 6735 488K XW,Seafood
162,3/3/2024,"€262,42",Transportation,FO15 4634 7275 9173 39,Train
163,9/1/2024,"€888,33",Groceries,AL60 7733 6074 CMFY QOKV ITOJ JONC,Frozen Foods
164,5/8/2024,"€231,01",Dining and Restaurants,BA64 4201 5531 3058 6257,Cafes
165,10/8/2024,"€419,40",Dining and Restaurants,DE92 7119 8645 9988 6676 14,Pubs
166,8/13/2024,"€525,69",Shopping,LI32 2291 41VJ COOT 0CBN W,Clothing
167,4/28/2024,"€148,34",Dining and Restaurants,FR36 7224 8700 6376 OREU 8HIK T63,Dessert Shops
168,10/5/2024,"€165,42",Health and Wellness,FR83 9883 7137 94UG JXT6 6TOY G44,Health Insurance
169,10/16/2024,"€589,83",Groceries,CZ74 7072 6374 7908 6921 1782,Household Items
170,6/11/2024,"€499,46",Housing and Rent,HU56 8158 5107 5683 7332 3777 3636,Rent
171,5/28/2024,"€938,04",Housing and Rent,IT19 L251 8725 142A QIZA 9EWR QK5,Home Improvements
172,2/18/2024,"€955,01",Groceries,IE03 MOZM 1930 0914 3377 97,Frozen Foods
173,11/18/2023,"€135,70",Shopping,IT38 E036 0299 233S ECMD PNJH CYD,Appliances
174,6/21/2024,"€366,89",Transportation,MR70 5061 3301 0967 3544 3994 699,Train
175,6/30/2024,"€703,52",Entertainment,IL95 4468 2199 7580 3600 223,Bowling
176,3/28/2024,"€554,43",Health and Wellness,EE23 2235 2213 2958 0219,Therapy
177,9/11/2024,"€826,36",Travel,MK70 101W Y12J SEGG Z01,Cruises
178,3/19/2024,"€3,22",Transportation,MU81 LBRZ 7856 7277 1938 1509 364F IH,Flight
179,7/19/2024,"€418,46",Family,HR87 2387 2898 6376 9960 2,Books
180,12/27/2023,"€905,63",Shopping,IE57 WUEJ 5342 1634 1084 90,Clothing
181,8/25/2024,"€668,62",Dining and Restaurants,PS67 SJVD SDWG XLVA J9ZC 7DQQ SQKQ W,Cafes
182,7/3/2024,"€391,44",Family,HU49 9040 4396 9426 1778 4763 3150,Childcare
183,8/8/2024,"€502,75",Shopping,IS37 7241 5762 4865 1735 8915 31,Appliances
184,5/24/2024,"€932,96",Entertainment,AZ38 CVDH 7ZP1 QQQO Q8VB XFBW BOSF,Video Games
185,8/6/2024,"€299,58",Groceries,SM40 F794 3691 547H CBVJ 0HJC 2ZS,Fruits
186,11/28/2023,"€26,05",Transportation,AL51 3631 6352 7XUO OUOV REWG UNC2,Taxi
187,6/6/2024,"€216,68",Health and Wellness,SE89 0429 4974 7705 7876 4283,Doctor Visits
188,5/25/2024,"€719,86",Housing and Rent,CR86 4994 3370 9879 5233 8,Gardening
189,8/14/2024,"€22,93",Insurance,RS06 2953 0849 0785 6320 05,Health Insurance
190,6/14/2024,"€618,98",Transportation,TN39 8255 4719 4783 3331 7637,Gasoline
191,8/17/2024,"€622,06",Family,HR74 2909 5115 2093 0284 6,Home Essentials
192,9/14/2024,"€632,12",Entertainment,ES54 8754 2626 9561 1977 7361,Karaoke
193,2/28/2024,"€319,03",Dining and Restaurants,DO80 PD2U 2824 7232 6837 8655 6132,Takeout
194,10/4/2024,"€116,88",Insurance,LU26 725Q AKTZ W4GM 96JP,Travel Insurance
195,5/27/2024,"€13,09",Entertainment,KZ49 746D 3COM UOOG THHY,Art Exhibitions
196,8/20/2024,"€244,81",Shopping,LB03 9905 C5KH CSLY VMWA CARE 8ODE,Electronics
197,9/25/2024,"€189,83",Entertainment,DO75 XS21 6741 6377 3780 4501 7736,Hobbies
198,12/6/2023,"€661,98",Travel,TR68 7091 3BAO S4RN MPCE YGIP DX,Luggage
199,2/11/2024,"€613,80",Insurance,FR10 2716 2045 12W3 YVVX CX3B F76,Health Insurance
200,12/4/2023,"€999,47",Groceries,FR82 1481 6050 03FU LFU3 MIGA G96,Meat
201,9/8/2024,"€40,32",Travel,AT76 6726 1271 6526 9542,Visas
202,2/9/2024,"€511,26",Shopping,SA42 21TU RSMH KLAB HCGY TVIW,Sports Equipment
203,7/19/2024,"€321,18",Dining and Restaurants,FR04 1433 9797 30TN OUUD LCKR W66,Coffee Shops
204,8/19/2024,"€297,37",Shopping,GB03 DZPM 0132 0599 6367 54,Outdoor Gear
205,5/31/2024,"€751,09",Entertainment,DE40 2015 5323 3772 4706 83,Live Theater
206,2/10/2024,"€542,54",Dining and Restaurants,MK72 888A KBQT LKW6 I02,Brunch Spots
207,2/13/2024,"€649,13",Insurance,FR82 0519 1986 91P3 RU08 4Y8G U21,Critical Illness Insurance
208,7/17/2024,"€559,22",Dining and Restaurants,BE67 7209 8906 0230,Food Trucks
209,9/6/2024,"€510,36",Travel,DE76 6631 7456 3763 2529 36,Food & Dining
210,4/24/2024,"€385,74",Dining and Restaurants,MK07 377P 0BV3 XSMN 385,Bakeries
211,9/20/2024,"€712,87",Groceries,LV06 DQBY A2BJ H9SK BBBS E,Cleaning Supplies
212,10/27/2024,"€292,99",Health and Wellness,HR44 8002 5927 5517 0347 3,Therapy
213,7/4/2024,"€59,95",Groceries,KZ21 698V QFHO 0J42 BPY6,Condiments
214,1/25/2024,"€337,42",Transportation,IS55 2587 3029 1938 7535 8149 27,Public Transport
215,7/5/2024,"€342,98",Groceries,AE98 9813 0956 9651 2402 612,Seafood
216,6/4/2024,"€475,98",Shopping,LB09 0302 VVSJ WVVB KJHV JPK9 EDE4,Clothing
217,5/11/2024,"€653,67",Travel,KZ36 748W 2MYV PJHJ AAJY,Vacation Packages
218,6/14/2024,"€923,54",Health and Wellness,NO29 5758 4381 064,Pharmacy
219,8/26/2024,"€190,02",Entertainment,IT06 Y443 1049 697N PRI3 TJ9O FX9,Video Games
220,10/27/2024,"€188,09",Dining and Restaurants,FR95 7825 9360 58CK FJWO 7BOX N77,Bars
221,11/13/2023,"€998,30",Travel,SK18 3486 4043 0473 3317 8829,Tourist Attractions
222,2/19/2024,"€733,85",Health and Wellness,SA54 15AS QXSW QJ2N SMUX YTGY,Health Insurance
223,1/23/2024,"€823,91",Entertainment,LT67 0117 1448 4283 3849,Movies
224,9/16/2024,"€218,18",Dining and Restaurants,SI11 4793 8699 4915 338,Buffets
225,3/18/2024,"€372,72",Dining and Restaurants,FR59 8240 1968 15RN UMWU JACY V76,Ethnic Cuisine
226,11/6/2024,"€455,06",Groceries,TN74 6858 3806 4326 7768 4726,Seafood
227,3/18/2024,"€483,42",Family,BA02 2935 8838 6026 3462,Pet Care
228,9/4/2024,"€869,00",Insurance,AT55 4778 3118 9742 8309,Business Insurance
229,5/30/2024,"€71,81",Housing and Rent,NO64 5230 8281 065,Phone
230,6/22/2024,"€220,56",Dining and Restaurants,ES51 3842 3162 4029 6619 1221,Ethnic Cuisine
231,11/24/2023,"€266,37",Transportation,RS46 0339 0509 7019 0714 77,Car Rental
232,5/17/2024,"€211,05",Insurance,FR81 1768 9317 518M XV70 VOWI Z37,Renters Insurance
233,2/12/2024,"€59,55",Health and Wellness,FR87 5180 0349 53RF 6U4T TZ6B O97,Yoga Classes
234,12/26/2023,"€623,91",Transportation,MC48 1034 9644 74PE Z5EB ZVNB W69,Car Rental
235,2/5/2024,"€431,90",Entertainment,DO07 OCDH 6806 5306 8614 4538 3808,Art Exhibitions
236,12/23/2023,"€691,35",Shopping,HU70 0436 7634 3574 7221 8074 3997,Sports Equipment
237,7/20/2024,"€404,85",Transportation,FR07 3914 7285 34MY RBAZ 9URD 788,Vehicle Maintenance
238,1/3/2024,"€183,89",Travel,AT61 4316 3944 7361 9686,Flights
239,8/15/2024,"€32,20",Insurance,DK37 5359 7628 1222 29,Auto Insurance
240,8/28/2024,"€336,58",Family,ES40 8973 6686 2782 5118 3987,Childcare
241,5/5/2024,"€564,29",Dining and Restaurants,GI84 TRYQ EF8M NOBA JRBG DU8,Casual Dining
242,6/26/2024,"€984,93",Groceries,ME87 4353 3306 6342 1915 48,Meat
243,12/14/2023,"€515,11",Travel,FO29 6082 8138 7951 89,Flights
244,12/4/2023,"€350,43",Health and Wellness,ES43 4975 3394 9078 4747 8421,Wellness Retreats
245,10/4/2024,"€834,17",Dining and Restaurants,KW62 CLIH JXLQ DRNY VVVU C4PD S6BU AH,Casual Dining
246,12/22/2023,"€369,96",Entertainment,LT79 9105 4103 2224 6445,Bowling
247,2/17/2024,"€77,48",Family,KW56 GJXL CDCY MXYM GNGW PLNF 48S2 FF,Pet Care
248,7/27/2024,"€48,66",Travel,FR76 8921 7523 39X7 GNTM Y8CW T63,Travel Insurance
249,1/24/2024,"€358,50",Travel,IL46 0348 0675 1504 1784 341,Hotels
250,3/30/2024,"€872,86",Shopping,SI95 5621 3016 7291 682,Shoes
251,7/30/2024,"€638,89",Health and Wellness,CH37 5136 7WWK B49H IG33 T,Yoga Classes
252,6/22/2024,"€29,51",Housing and Rent,MK60 254M VKGG WQYV E28,Home Improvements
253,4/26/2024,"€675,94",Groceries,SI45 7716 0132 3798 025,Canned Goods
254,8/5/2024,"€110,60",Transportation,FR77 1130 5031 7150 M8FS WJSG 209,Train
255,3/13/2024,"€957,87",Dining and Restaurants,FR34 3851 8783 26NS ZFQP YZLR O85,Cafes
256,11/28/2023,"€252,93",Health and Wellness,AL60 7206 6596 DH1D 7UPY KPOA DB66,Physical Therapy
257,8/20/2024,"€82,13",Shopping,FR14 2010 4308 03YW OWW4 BPEY R29,Toys
258,2/28/2024,"€627,79",Entertainment,ES68 6497 5587 4959 5267 2548,Museums
259,2/28/2024,"€598,22",Shopping,FR40 7575 1650 54K0 8JPS RQGG Z35,Appliances
260,12/21/2023,"€166,73",Transportation,GE92 TF51 1422 1104 6398 03,Insurance
261,2/22/2024,"€903,53",Travel,CH78 5321 4QDE 5Q4X 5HDB K,Souvenirs
262,5/14/2024,"€536,02",Insurance,BG12 ZQWF 8290 216K FR3F OR,Business Insurance
263,3/26/2024,"€610,31",Transportation,AT30 8603 6173 0629 1659,Vehicle Maintenance
264,1/17/2024,"€526,10",Dining and Restaurants,LU60 942D RTP3 NCLL ZL3M,Brunch Spots
265,1/31/2024,"€225,96",Housing and Rent,ES63 4446 0143 9893 9377 9976,Home Security
266,9/5/2024,"€260,64",Health and Wellness,HR20 3175 5129 6855 7536 6,Yoga Classes
267,11/9/2023,"€302,65",Shopping,MT56 ZYSU 1542 4807 8HVM XMCR 0EQK USI,Jewelry
268,12/20/2023,"€174,63",Shopping,GB64 VFTC 2786 7182 6050 67,Jewelry
269,3/26/2024,"€812,82",Shopping,MD79 IDC3 1QQV 4K1G 7AXU V3C2,Sports Equipment
270,12/23/2023,"€975,06",Family,FR98 3702 8610 91AG JVMT DVFR W90,Groceries
271,11/20/2023,"€968,37",Health and Wellness,IL73 1261 7061 4517 8558 875,Personal Trainer
272,11/9/2023,"€298,11",Health and Wellness,SK47 2031 2000 3851 3099 9715,Therapy
273,1/1/2024,"€266,96",Travel,KZ63 114Z CDFU MCDZ ND2F,Hotels
274,4/17/2024,"€790,44",Insurance,PS86 IUXU S1WN OGGR Z60Y H8G4 QGGH H,Business Insurance
275,11/19/2023,"€324,06",Entertainment,BG86 VZYC 7713 56E5 BNPH JC,Museums
276,9/6/2024,"€95,02",Insurance,FR85 2620 8911 57BA G7QN 2VJW F95,Dental Insurance
277,10/1/2024,"€359,40",Family,MK09 292E UWA1 79RS 861,Books
278,9/8/2024,"€868,75",Family,FR24 4219 1033 81SF 9WWA NUQ7 N31,Home Essentials
279,12/17/2023,"€472,36",Dining and Restaurants,MT61 OTKA 6834 2MEJ SQSV MOVW NITF BQC,Food Trucks
280,5/13/2024,"€527,69",Groceries,PT15 2358 8835 3974 0317 4640 9,Frozen Foods
281,7/18/2024,"€448,95",Entertainment,HU95 5637 0086 9960 1914 3081 9898,Escape Rooms
282,1/9/2024,"€223,43",Shopping,CZ62 7842 6864 5159 9714 3033,Office Supplies
283,11/13/2023,"€715,55",Entertainment,MU80 QPDM 0535 3721 7275 7489 437S AG,Dance Classes
284,4/23/2024,"€608,30",Housing and Rent,MT31 NFCO 3863 29EO ZYQC TNBG SB75 UZ0,Home Improvements
